Name,ObsID,RA_deg,Dec_deg,z,Class,Flux_0p5_4p5,Log_Lx,SCID,Bmag,Rmag,BR_color
XWAS J004725.1-205443,X00917_00009,11.855333333333334,-20.911749999999998,2.102,BLAGN,2.9,44.99,565269235869691,21.09,,
XWAS J004727.2-204722,X00917_00047,11.863833333333332,-20.78975,0.371,BLAGN,10.2,43.68,283794259163318,18.06,19.66,-1.6000000000000014
XWAS J004842.4-520546,X21211_082,12.177125,-52.09605555555556,2.265,BLAGN,1.8,44.89,282312495372738,21.09,22.02,-0.9299999999999997
XWAS J004846.2-521459,X21211_020,12.19325,-52.24975,2.124,BLAGN,0.9,44.51,282312495362851,22.15,,
XWAS J004901.1-520659,X21211_075,12.254833333333334,-52.11636111111111,2.682,BLAGN,1.1,44.87,282312495371424,21.99,,
XWAS J004919.4-520401,X21211_086,12.331,-52.06722222222223,1.695,BLAGN,2.2,44.62,282312495374600,18.82,19.63,-0.8099999999999987
XWAS J004927.4-520836,X21211_063,12.36425,-52.14341666666667,0.407,Gal,0.8,42.67,282312495369666,20.06,22.71,-2.650000000000002
XWAS J004934.9-521455,X21211_021,12.395666666666667,-52.248805555555556,1.663,BLAGN,1.0,44.26,282312495362892,20.68,21.62,-0.9400000000000013
XWAS J004936.7-521306,X21211_032,12.403208333333332,-52.218472222222225,0.931,BLAGN,2.6,44.04,282312495364815,20.12,20.99,-0.8699999999999974
XWAS J004945.5-515232,X21211_125,12.440958333333333,-51.875527777777776,0.919,BLAGN,4.2,44.24,282312495386597,19.5,20.04,-0.5399999999999991
XWAS J005007.0-520728,X21211_072,12.529583333333335,-52.124722222222225,0.027,Gal,0.5,39.95,282312495370898,14.17,15.49,-1.3200000000000003
XWAS J005007.3-521506,X21211_017,12.530750000000001,-52.25208333333333,2.416,BLAGN,1.0,44.7,282312495362711,19.5,20.56,-1.0599999999999987
XWAS J005009.6-515932,X21211_106,12.540375000000001,-51.99225,0.614,BLAGN,9.5,44.16,282312495379266,20.58,22.34,-1.7600000000000016
XWAS J005013.0-522150,X21211_001,12.554541666666667,-52.36430555555555,0.407,BLAGN,8.2,43.68,282119222071031,18.91,20.15,-1.2399999999999984
XWAS J005030.8-520010,X21211_101,12.628625000000001,-52.00277777777778,0.463,BLAGN,18.7,44.17,282312495378617,19.28,20.08,-0.7999999999999972
XWAS J005032.1-521541,X21211_014,12.634,-52.26175,1.22,BLAGN,7.6,44.81,282312495362137,20.04,21.15,-1.1099999999999994
XWAS J005041.7-521311,X21211_031,12.674458333333334,-52.22002777777778,0.027,Gal,2.9,40.71,282312495364706,13.5,14.71,-1.2100000000000009
XWAS J005044.2-515950,X21211_104,12.684916666666668,-51.99744444444445,2.477,BLAGN,1.5,44.9,282312495378946,20.69,21.61,-0.9199999999999982
XWAS J005044.7-520735,X21211_070,12.686458333333334,-52.126555555555555,3.165,BLAGN,0.5,44.72,282312495370775,19.82,20.67,-0.8500000000000014
XWAS J013205.2-400048,X01008_118,23.021666666666665,-40.01338888888889,0.444,BLAGN,9.1,43.81,282746287195906,19.2,20.32,-1.120000000000001
XWAS J013218.1-401300,X01008_038,23.07608333333333,-40.21652777777778,3.108,BLAGN,1.6,45.19,282746287183693,20.33,21.12,-0.7900000000000027
XWAS J013233.2-395438,X01008_153,23.137958333333334,-39.91086111111111,1.732,BLAGN,4.7,44.98,282746287202775,19.29,19.97,-0.6799999999999997
XWAS J013246.5-401452,X01008_027,23.194208333333332,-40.24772222222222,2.252,BLAGN,0.8,44.54,282746287181865,21.82,,
XWAS J013255.1-401128,X01008_048,23.229916666666664,-40.19136111111111,0.414,NELG,2.0,43.08,282746287185132,19.87,22.38,-2.509999999999998
XWAS J013257.6-401029,X01008_058,23.239625,-40.17497222222222,2.169,BLAGN,3.0,45.05,282746287186046,18.4,19.17,-0.7700000000000031
XWAS J013305.5-395505,X01008_151,23.273041666666668,-39.918194444444445,1.32,BLAGN,1.8,44.26,282746287202268,20.2,20.26,-0.060000000000002274
XWAS J013314.4-401756,X01008_014,23.311125,-40.29877777777778,1.13,BLAGN,4.8,44.52,282746287178687,20.83,20.99,-0.16000000000000014
XWAS J013315.3-401204,X01008_045,23.313375,-40.20133333333334,1.488,BLAGN,3.8,44.72,282746287184574,18.43,19.2,-0.7699999999999996
XWAS J013334.2-395547,X01008_147,23.392458333333334,-39.92961111111111,1.91,BLAGN,6.0,45.2,282750582152937,19.05,20.1,-1.0500000000000007
XWAS J013356.5-401258,X01008_039,23.486208333333334,-40.216,0.566,BLAGN,5.8,43.87,282750582136917,19.41,20.55,-1.1400000000000006
XWAS J013403.2-401332,X01008_034,23.513458333333336,-40.22588888888889,0.294,NELG,4.5,43.1,282750582136364,18.72,20.8,-2.080000000000002
XWAS J013403.2-412700,X02567_117,23.513291666666667,-41.450027777777784,2.133,BLAGN,3.1,45.05,282750582068705,19.83,20.67,-0.8400000000000034
XWAS J013403.3-400227,X01008_111,23.514,-40.04091666666667,0.733,BLAGN,14.6,44.54,282750582146394,18.09,18.87,-0.7800000000000011
XWAS J013408.3-400546,X01008_084,23.534791666666667,-40.09630555555556,1.047,BLAGN,6.0,44.54,282750582143458,18.85,19.85,-1.0
XWAS J013442.7-413611,X02567_010,23.678083333333333,-41.60333333333333,0.174,BLAGN,98.0,43.93,282750582059573,17.5,18.73,-1.2300000000000004
XWAS J013445.0-412918,X02567_095,23.687625,-41.488305555555556,1.382,BLAGN,1.2,44.13,282750582066238,20.91,20.79,0.120000000000001
XWAS J013451.9-413425,X02567_024,23.71633333333333,-41.573888888888895,1.504,BLAGN,2.1,44.48,282750582061195,20.18,20.68,-0.5
XWAS J013515.8-413553,X02567_013,23.81466666666667,-41.597833333333334,1.226,BLAGN,2.5,44.33,282750582059861,19.07,19.9,-0.8299999999999983
XWAS J013521.9-413508,X02567_018,23.841208333333338,-41.58594444444444,1.119,BLAGN,3.5,44.37,282750582060517,20.16,21.17,-1.0100000000000016
XWAS J013529.6-412025,X02567_170,23.87379166666667,-41.340500000000006,0.445,NELG,10.6,43.88,282746287116322,21.09,23.06,-1.9699999999999989
XWAS J013541.3-413133,X02567_067,23.922708333333336,-41.52602777777778,1.024,BLAGN,8.0,44.64,282750582063965,20.0,20.41,-0.41000000000000014
XWAS J013549.4-413606,X02567_011,23.956333333333333,-41.60175,1.275,BLAGN,5.2,44.69,282750582059653,18.82,20.2,-1.379999999999999
XWAS J013809.3-674137,X01607_00035,24.538708333333332,-67.694,0.14,NELG,3.0,42.21,281698315963219,18.26,19.26,-1.0
XWAS J013819.1-674339,X01607_00032,24.582166666666666,-67.72666666666667,0.55,NELG,1.4,43.23,281698315960620,19.07,21.92,-2.8500000000000014
XWAS J013943.5-674908,X01607_00023,24.93208333333333,-67.81891666666667,0.103,BLAGN,7.7,42.33,281698315953174,17.4,18.47,-1.0700000000000003
XWAS J013947.0-675021,X30355_00068,24.94608333333333,-67.83911111111111,1.62,BLAGN,2.9,44.7,563173292413309,19.97,,
XWAS J013952.3-674437,X30355_00090,24.968125,-67.74344444444445,0.164,Gal,0.4,41.45,281698315959238,18.23,19.88,-1.6499999999999986
XWAS J013959.5-674714,X30355_00084,24.998333333333335,-67.78694444444444,1.352,BLAGN,0.7,43.91,281698315955696,20.31,22.16,-1.8500000000000014
XWAS J014000.9-673909,X01607_00038,25.003999999999998,-67.6525,1.65,BLAGN,2.0,44.57,281698315966447,19.71,21.16,-1.4499999999999993
XWAS J014009.3-675802,X01607_00006,25.038375,-67.96752777777778,1.38,BLAGN,2.7,44.49,281698315941311,19.25,21.64,-2.3900000000000006
XWAS J014022.2-675902,X30355_00022,25.09270833333333,-67.98377777777777,1.573,BLAGN,1.5,44.39,281698315940059,19.2,21.11,-1.9100000000000001
XWAS J014036.9-673945,X01607_00037,25.154083333333332,-67.66236111111111,1.34,BLAGN,4.0,44.63,281818574098741,20.71,20.58,0.13000000000000256
XWAS J014041.1-680032,X30355_00013,25.172041666666665,-68.00922222222222,1.252,BLAGN,0.7,43.77,281698315938203,20.04,20.73,-0.6900000000000013
XWAS J014049.5-674615,X30355_00087,25.206874999999997,-67.77074999999999,2.102,BLAGN,1.0,44.51,281698315956938,21.37,22.67,-1.3000000000000007
XWAS J014058.4-673659,X30355_00101,25.243541666666665,-67.61633333333333,1.933,BLAGN,0.7,44.29,281818574101234,19.15,19.41,-0.26000000000000156
XWAS J014106.2-674203,X30355_00095,25.277458333333335,-67.70066666666666,0.789,BLAGN,0.9,43.41,281698315962684,21.86,,
XWAS J014109.5-675638,X01607_00010,25.289708333333333,-67.94411111111111,0.225,BLAGN,12.1,43.26,281698315943243,19.08,20.76,-1.6800000000000033
XWAS J014129.8-675402,X30355_00116,25.37529166666667,-67.90050000000001,1.35,BLAGN,1.5,44.22,281698315946598,21.16,23.17,-2.0100000000000016
XWAS J014150.8-675906,X30355_00021,25.4625,-67.98502777777777,0.407,BLAGN,13.6,43.9,281698315939970,17.68,18.72,-1.0399999999999991
XWAS J014153.6-675126,X30355_00063,25.473583333333334,-67.85730555555556,1.53,BLAGN,1.1,44.23,281698315950011,19.9,22.68,-2.780000000000001
XWAS J014206.4-674734,X01607_00025,25.5275,-67.79255555555555,0.686,BLAGN,1.7,43.55,281698315955246,19.28,21.9,-2.6199999999999974
XWAS J014213.2-675255,X30355_00053,25.55645833333333,-67.88216666666666,1.13,BLAGN,6.0,44.62,281698315948055,19.94,20.36,-0.41999999999999815
XWAS J014307.7-675735,X30355_00126,25.783250000000002,-67.95941666666667,2.82,BLAGN,0.4,44.52,281698315942014,19.41,21.55,-2.1400000000000006
XWAS J015151.7-140338,X01135_00226,27.965208333333337,-14.06025,1.162,BLAGN,2.0,44.17,284103496840007,22.06,,
XWAS J015158.3-135158,X01135_00147,27.993041666666667,-13.866305555555556,1.099,BLAGN,1.2,43.89,284103496847911,21.45,,
XWAS J015201.2-140153,X01135_00051,28.005,-14.031722222222223,2.019,BLAGN,0.6,44.27,284107791835716,22.23,,
XWAS J015202.3-135300,X01135_00138,28.00979166666667,-13.883388888888888,0.87,BLAGN,2.1,43.89,284103496847100,18.65,19.45,-0.8000000000000007
XWAS J015202.5-140622,X01135_00223,28.010666666666665,-14.106583333333333,1.057,BLAGN,4.6,44.43,284103496838091,19.0,20.42,-1.4200000000000017
XWAS J015209.3-135023,X01135_00159,28.038958333333333,-13.839972222222222,2.963,BLAGN,1.7,45.16,284103496849002,19.58,20.13,-0.5500000000000007
XWAS J015210.2-140033,X01135_00057,28.042625,-14.009305555555555,2.01,BLAGN,1.3,44.6,284107791836732,22.51,,
XWAS J015210.3-135437,X01135_00122,28.043208333333332,-13.910555555555556,1.75,BLAGN,1.4,44.47,284107791841537,21.65,22.29,-0.6400000000000006
XWAS J015212.2-134848,X01135_00170,28.051000000000002,-13.813694444444446,0.743,BLAGN,1.0,43.38,284103496850002,21.41,,
XWAS J015213.0-135019,X01135_00161,28.054291666666668,-13.83863888888889,0.339,NELG,3.6,43.14,284103496849052,19.2,20.65,-1.4499999999999993
XWAS J015219.0-135048,X01135_00156,28.079166666666666,-13.847000000000001,1.222,BLAGN,0.6,43.71,284103496848719,20.04,20.56,-0.5199999999999996
XWAS J015228.7-140941,X01135_00215,28.12016666666667,-14.161777777777779,2.267,BLAGN,2.1,44.94,284103496835813,20.29,,
XWAS J015234.7-135929,X01135_00072,28.144666666666666,-13.991583333333333,0.745,BLAGN,3.0,43.87,284107791837597,19.8,20.92,-1.120000000000001
XWAS J015234.8-134735,X01135_00179,28.145041666666668,-13.793194444444444,0.168,BLAGN,6.4,42.7,284103496850829,18.01,19.08,-1.0699999999999967
XWAS J015237.3-134921,X00955_00051,28.155583333333333,-13.822722222222222,2.072,BLAGN,0.6,44.28,284107791846038,19.2,19.82,-0.620000000000001
XWAS J015239.2-133703,X00955_00149,28.163833333333336,-13.617611111111112,3.113,BLAGN,1.4,45.14,284107791856117,19.14,20.26,-1.120000000000001
XWAS J015239.8-135741,X01135_00087,28.166083333333333,-13.961444444444444,0.876,BLAGN,7.8,44.46,565582768585108,20.48,,
